Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Rating,Instagram Followers
SF,23,IND,20,11,429,51,137,0.372,27,79,0.342,24,58,0.414,0.471,23,28,0.821,10,54,64,25,16,10,19,60,152,3804360,71,"79,656"
SG,20,GSW,20,1,292,32,77,0.416,18,50,0.36,14,27,0.519,0.532,18,22,0.818,5,31,36,12,7,5,20,14,100,3740160,73,"197,956"
PG,22,ORL,8,3,219,36,90,0.4,11,32,0.344,25,58,0.431,0.461,21,25,0.84,4,32,36,28,10,4,11,27,104,3613680,78,"720,070"
SF,23,WAS,16,9,426,56,103,0.544,30,65,0.462,26,38,0.684,0.689,14,19,0.737,8,29,37,28,10,3,10,24,156,3552840,75,"72,091"
C,34,HOU,7,0,25,3,7,0.429,0,1,0.0,3,6,0.5,0.429,4,6,0.667,1,6,7,1,1,1,2,1,10,3500000,73,"960,811"
PF,29,PHI,23,0,453,78,169,0.462,53,123,0.431,25,46,0.543,0.618,13,15,0.867,5,43,48,26,10,7,18,49,222,3465000,73,"103,154"
PF,24,ORL,18,7,392,32,87,0.368,18,60,0.3,14,27,0.519,0.471,16,21,0.762,21,55,76,26,11,9,9,34,98,3433320,75,"39,149"
SG,25,LAC,21,6,313,25,66,0.379,4,18,0.222,21,48,0.438,0.409,30,37,0.811,9,15,24,27,5,2,10,27,84,3395062,75,"25,455"
C,20,HOU,21,18,562,120,216,0.556,4,21,0.19,116,195,0.595,0.565,68,86,0.791,71,109,180,46,16,20,49,74,312,3375360,77,"253,475"
PF,21,HOU,24,0,448,81,188,0.431,17,47,0.362,64,141,0.454,0.476,32,38,0.842,53,77,130,20,33,10,19,51,211,3359160,72,"54,470"
PF,21,OKC,21,16,469,78,170,0.459,26,70,0.371,52,100,0.52,0.535,13,21,0.619,36,68,104,35,13,31,29,38,195,3261480,75,"62,439"
C,29,CHI,17,0,241,47,87,0.54,0,2,0.0,47,85,0.553,0.54,17,26,0.654,45,86,131,14,9,7,20,34,111,3200000,79,"1,349,041"
SG,20,CHI,10,0,33,3,11,0.273,1,4,0.25,2,7,0.286,0.318,3,4,0.75,0,2,2,5,1,2,4,2,10,3191400,71,"149,432"
SG,22,DAL,24,1,481,57,98,0.582,24,54,0.444,33,44,0.75,0.704,30,43,0.698,21,34,55,28,23,1,17,60,168,3098400,73,"158,429"
PF,21,MEM,16,0,295,29,70,0.414,19,49,0.388,10,21,0.476,0.55,5,5,1.0,13,37,50,16,9,3,15,33,82,3047640,71,"19,622"
PG,21,OKC,21,4,464,76,200,0.38,30,107,0.28,46,93,0.495,0.455,11,17,0.647,11,46,57,38,19,3,22,37,193,3046200,75,"171,721"
SF,23,DET,19,0,257,36,79,0.456,17,50,0.34,19,29,0.655,0.563,7,11,0.636,9,35,44,7,6,7,10,29,96,3000000,71,"224,335"
SF,23,DET,22,17,663,101,250,0.404,31,115,0.27,70,135,0.519,0.466,87,98,0.888,24,77,101,40,19,4,28,40,320,2959080,80,"59,220"
SF,19,SAS,11,2,188,21,64,0.328,8,35,0.229,13,29,0.448,0.391,8,10,0.8,2,16,18,20,2,2,11,14,58,2925600,72,"43,084"
C,22,CHO,15,0,140,17,37,0.459,2,9,0.222,15,28,0.536,0.486,5,8,0.625,13,19,32,4,3,8,5,15,41,2909040,72,"101,358"
PF,42,MIA,4,0,24,1,6,0.167,0,1,0.0,1,5,0.2,0.167,1,2,0.5,2,2,4,0,1,1,0,4,3,2905851,70,"603,228"
PG,36,CHI,22,0,383,68,156,0.436,25,60,0.417,43,96,0.448,0.516,17,26,0.654,10,27,37,71,6,4,28,31,178,2905851,74,"484,122"
SG,36,MIL,18,0,279,18,59,0.305,14,47,0.298,4,12,0.333,0.424,7,8,0.875,15,19,34,10,9,4,6,30,57,2905851,72,"217,619"
PF,33,MIL,14,0,159,23,44,0.523,6,14,0.429,17,30,0.567,0.591,8,13,0.615,12,28,40,4,0,6,8,20,60,2905851,75,"1,208,311"
C,33,SAS,11,1,117,16,37,0.432,8,27,0.296,8,10,0.8,0.541,3,4,0.75,9,22,31,19,1,5,11,19,43,2905851,74,"189,983"
C,23,TOR,12,0,245,36,92,0.391,5,28,0.179,31,64,0.484,0.418,28,33,0.848,24,60,84,16,2,7,15,19,105,2840160,76,"181,046"
SG,21,DEN,22,0,283,25,61,0.41,8,22,0.364,17,39,0.436,0.475,7,13,0.538,13,31,44,15,8,3,6,24,65,2808600,71,"101,063"
SF,21,ATL,22,2,328,44,93,0.473,6,30,0.2,38,63,0.603,0.505,10,15,0.667,13,63,76,21,14,7,10,34,104,2792640,73,"132,464"
SG,22,PHI,15,15,546,126,273,0.462,43,102,0.422,83,171,0.485,0.54,48,65,0.738,6,46,52,66,15,4,30,35,343,2726880,85,"500,296"
SG,20,POR,6,0,106,16,45,0.356,8,23,0.348,8,22,0.364,0.444,2,6,0.333,3,12,15,10,5,2,13,10,42,2681040,71,"55,525"
PF,27,SAC,17,0,242,35,86,0.407,21,61,0.344,14,25,0.56,0.529,16,22,0.727,17,31,48,13,6,7,17,20,107,2625000,75,"160,656"
PF,22,DEN,18,0,181,33,56,0.589,3,14,0.214,30,42,0.714,0.616,8,10,0.8,17,8,25,4,3,3,9,26,77,2617800,76,"34,318"
PF,21,MEM,24,1,464,54,141,0.383,23,76,0.303,31,65,0.477,0.465,15,21,0.714,17,48,65,15,8,7,16,36,146,2588640,72,"24,072"
PF,21,IND,23,3,379,63,114,0.553,1,4,0.25,62,110,0.564,0.557,45,64,0.703,35,66,101,24,11,29,23,56,172,2573760,76,"116,402"
