Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Rating,Instagram Followers
SF,22,MIL,15,6,232,30,78,0.385,12,41,0.293,18,37,0.486,0.462,7,10,0.7,14,30,44,6,7,2,18,26,79,2485200,71,"179,744"
PF,20,HOU,22,1,339,32,56,0.571,7,11,0.636,25,45,0.556,0.634,14,24,0.583,39,69,108,23,19,16,19,42,85,2471160,73,"216,510"
C,29,ATL,10,0,61,7,12,0.583,3,6,0.5,4,6,0.667,0.708,4,4,1.0,0,12,12,6,0,0,3,10,21,2463490,74,"179,727"
C,28,NOP,10,0,99,17,35,0.486,0,3,0.0,17,32,0.531,0.486,18,22,0.818,15,25,40,5,3,2,11,10,52,2443581,74,"404,636"
PG,21,CHO,22,1,368,43,96,0.448,14,36,0.389,29,60,0.483,0.521,20,23,0.87,5,47,52,55,18,5,26,22,120,2408891,72,"59,480"
SG,21,HOU,17,0,122,21,48,0.438,3,14,0.214,18,34,0.529,0.469,5,6,0.833,5,14,19,10,5,1,12,12,50,2372160,75,"837,150"
PG,23,NYK,24,0,548,83,200,0.415,28,91,0.308,55,109,0.505,0.485,47,56,0.839,16,91,107,72,24,3,35,43,241,2316240,77,"224,812"
C,27,LAL,12,1,94,10,21,0.476,0,1,0.0,10,20,0.5,0.476,9,12,0.75,11,19,30,3,1,6,6,11,29,2298385,72,"86,292"
SG,22,NYK,14,9,295,32,72,0.444,11,41,0.268,21,31,0.677,0.521,4,5,0.8,10,29,39,24,9,4,13,34,79,2277000,72,"183,488"
PF,19,MIA,11,6,169,23,57,0.404,6,28,0.214,17,29,0.586,0.456,18,19,0.947,8,19,27,10,6,1,9,13,70,2239920,71,"124,944"
PG,25,BOS,14,0,171,28,68,0.412,14,38,0.368,14,30,0.467,0.515,5,8,0.625,8,14,22,16,5,1,12,6,75,2239200,76,"249,134"
PF,25,DEN,16,0,198,30,65,0.462,14,34,0.412,16,31,0.516,0.569,6,7,0.857,5,23,28,15,7,4,10,23,80,2234359,71,"27,597"
PG,22,DEN,16,0,337,76,188,0.404,45,102,0.441,31,86,0.36,0.524,34,42,0.81,5,28,33,55,11,5,30,27,231,2201520,76,"246,628"
PF,23,ORL,25,20,666,128,213,0.601,19,46,0.413,109,167,0.653,0.646,37,48,0.771,33,154,187,25,12,46,53,37,312,2200000,71,"965,102"
PG,26,MIN,16,0,261,25,60,0.417,8,32,0.25,17,28,0.607,0.483,9,9,1.0,6,23,29,60,14,2,11,6,67,2160000,75,"28,683"
SG,21,BRK,19,0,283,37,101,0.366,7,25,0.28,30,76,0.395,0.401,40,50,0.8,1,24,25,29,9,3,15,19,121,2138160,74,"125,726"
SG,24,MEM,12,12,403,99,213,0.465,46,102,0.451,53,111,0.477,0.573,52,57,0.912,6,53,59,57,7,3,27,29,296,2130240,83,"188,694"
C,21,BRK,15,0,113,15,31,0.484,3,4,0.75,12,27,0.444,0.532,8,12,0.667,13,30,43,9,3,7,8,24,41,2109480,73,"58,748"
C,25,CHI,6,0,15,2,4,0.5,1,2,0.5,1,2,0.5,0.625,2,2,1.0,1,6,7,0,1,0,0,0,7,2036318,74,"101,465"
PF,22,OKC,23,16,490,77,155,0.497,28,70,0.4,49,85,0.576,0.587,20,26,0.769,43,72,115,22,19,10,14,44,202,2000000,73,"36,489"
SG,26,PHI,20,8,486,92,176,0.523,18,46,0.391,74,130,0.569,0.574,33,38,0.868,16,52,68,72,7,4,38,31,235,1997718,74,"68,325"
PG,26,ATL,21,1,359,36,85,0.424,14,30,0.467,22,55,0.4,0.506,10,13,0.769,9,21,30,29,13,3,17,36,96,1968175,75,"72,309"
C,25,LAL,9,1,131,34,48,0.708,2,8,0.25,32,40,0.8,0.729,13,22,0.591,12,32,44,6,0,5,4,15,83,1968175,76,"94,917"
SG,27,DAL,7,0,24,1,4,0.25,0,3,0.0,1,1,1.0,0.25,2,2,1.0,0,6,6,2,1,0,1,1,4,1968175,68,"141,451"
SG,27,BRK,20,8,306,49,112,0.438,12,44,0.273,37,68,0.544,0.491,33,36,0.917,5,21,26,23,20,5,22,28,143,1968175,75,"522,796"
PF,24,SAS,19,0,254,36,81,0.444,12,35,0.343,24,46,0.522,0.519,8,18,0.444,8,44,52,26,9,6,11,26,92,1930681,75,"37,813"
C,23,MIN,17,0,246,54,103,0.524,11,38,0.289,43,65,0.662,0.578,16,25,0.64,10,49,59,13,5,17,12,40,135,1930681,75,"144,696"
SF,25,CHO,24,6,635,89,203,0.438,30,85,0.353,59,118,0.5,0.512,35,41,0.854,23,88,111,55,24,13,32,70,243,1930681,73,"24,918"
SG,23,MIN,23,0,417,101,234,0.432,31,97,0.32,70,137,0.511,0.498,31,39,0.795,16,48,64,46,14,2,22,35,264,1930681,75,"58,977"
C,25,SAC,18,0,227,45,72,0.625,3,16,0.188,42,56,0.75,0.646,14,16,0.875,13,50,63,14,6,5,12,22,107,1910860,75,"34,536"
SF,27,SAS,22,8,398,69,132,0.523,11,30,0.367,58,102,0.569,0.564,25,30,0.833,27,38,65,16,13,4,17,15,174,1878720,74,"38,780"
SG,23,OKC,17,0,140,29,59,0.492,23,50,0.46,6,9,0.667,0.686,7,9,0.778,2,20,22,16,7,1,6,15,88,1836090,69,"46,147"
PG,23,SAS,23,23,695,104,250,0.416,18,59,0.305,86,191,0.45,0.452,52,57,0.912,17,61,78,158,35,4,47,43,278,1782621,74,"311,870"
PF,25,CLE,12,9,263,30,68,0.441,7,20,0.35,23,48,0.479,0.493,16,19,0.842,7,31,38,5,5,6,6,18,83,1782621,75,"51,583"
SF,25,NOP,21,4,427,52,125,0.416,17,52,0.327,35,73,0.479,0.484,23,29,0.793,16,46,62,45,15,4,18,26,144,1782621,73,"18,311"
SF,22,BRK,12,0,39,3,13,0.231,2,7,0.286,1,6,0.167,0.308,1,2,0.5,2,3,5,2,2,1,1,1,9,1637966,71,"19,186"
PF,25,BOS,25,0,417,61,121,0.504,49,106,0.462,12,15,0.8,0.707,7,9,0.778,9,52,61,19,6,7,7,36,178,1637966,71,"27,889"
SG,24,LAL,23,8,658,74,142,0.521,24,66,0.364,50,76,0.658,0.606,65,71,0.915,16,55,71,44,10,7,24,33,237,1563518,74,"294,015"
PF,22,POR,15,2,279,31,55,0.564,3,10,0.3,28,45,0.622,0.591,17,19,0.895,13,48,61,25,7,1,16,28,82,1563518,74,"70,350"
PG,22,NYK,12,0,82,9,28,0.321,1,15,0.067,8,13,0.615,0.339,2,6,0.333,0,3,3,15,5,0,3,9,21,1563518,71,"69,806"
PG,24,NOP,23,6,487,85,180,0.472,38,94,0.404,47,86,0.547,0.578,21,25,0.84,10,45,55,77,27,4,31,51,229,1563518,76,"231,946"
SG,24,OKC,17,5,330,37,80,0.463,13,33,0.394,24,47,0.511,0.544,16,20,0.8,17,44,61,29,9,4,11,26,103,1563518,73,"31,192"
C,27,PHO,21,0,268,50,96,0.521,4,28,0.143,46,68,0.676,0.542,28,35,0.8,33,43,76,14,6,14,15,41,132,1563518,70,"52,122"
PG,20,HOU,22,0,331,24,70,0.343,16,46,0.348,8,24,0.333,0.457,9,13,0.692,8,29,37,54,15,3,31,20,73,1563518,67,"63,159"
PG,23,LAC,4,0,27,6,13,0.462,2,7,0.286,4,6,0.667,0.538,0,2,0.0,1,2,3,5,0,0,2,2,14,1563518,70,"73,329"
SG,23,IND,15,2,128,11,31,0.355,2,10,0.2,9,21,0.429,0.387,4,5,0.8,9,13,22,6,2,4,4,13,28,1563518,74,"8,463"
PF,24,DET,22,7,430,42,104,0.404,29,81,0.358,13,23,0.565,0.543,15,20,0.75,11,39,50,13,9,12,13,42,128,1563518,72,"50,768"
PG,23,CHI,22,20,624,94,182,0.516,22,66,0.333,72,116,0.621,0.577,18,20,0.9,12,63,75,64,14,9,34,56,228,1563518,76,"232,141"
PF,26,SAS,3,0,24,3,6,0.5,0,2,0.0,3,4,0.75,0.5,1,2,0.5,2,7,9,0,1,0,3,1,7,1493098,72,"1,001,080"
PG,20,MEM,9,0,105,12,38,0.316,2,11,0.182,10,27,0.37,0.342,3,7,0.429,2,11,13,21,6,3,8,5,29,1200000,70,"104,019"
SG,19,LAL,10,0,112,9,23,0.391,7,16,0.438,2,7,0.286,0.543,3,4,0.75,1,21,22,5,3,0,2,5,28,1017781,70,"80,670"
SG,20,DAL,5,0,19,6,15,0.4,1,5,0.2,5,10,0.5,0.433,2,2,1.0,0,3,3,1,0,0,2,5,15,1017781,70,"345,877"
C,22,SAS,14,0,214,33,48,0.688,2,6,0.333,31,42,0.738,0.708,10,18,0.556,29,55,84,20,6,15,19,34,78,566085,73,"47,617"
SG,22,PHO,15,0,135,29,77,0.377,11,39,0.282,18,38,0.474,0.448,0,2,0.0,0,9,9,11,1,1,9,7,69,508891,72,"43,319"
SG,20,CHO,9,0,109,13,28,0.464,4,9,0.444,9,19,0.474,0.536,8,9,0.889,2,9,11,8,3,4,3,4,38,508891,70,"38,845"
SF,25,OKC,8,0,95,17,33,0.515,6,13,0.462,11,20,0.55,0.606,7,11,0.636,6,8,14,2,3,0,5,21,47,508891,68,"10,862"
C,23,MIL,11,0,88,11,28,0.393,4,15,0.267,7,13,0.538,0.464,5,10,0.5,5,18,23,3,1,2,4,8,31,502080,71,"57,082"
