Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Roby,PF,24,SAS,19,0,254,36,81,.444,12,35,.343,24,46,.522,.519,8,18,.444,8,44,52,26,9,6,11,26,92
David Roddy,PF,21,MEM,24,1,464,54,141,.383,23,76,.303,31,65,.477,.465,15,21,.714,17,48,65,15,8,7,16,36,146
Ryan Rollins,PG,20,GSW,7,0,43,5,15,.333,3,8,.375,2,7,.286,.433,2,2,1.000,1,6,7,3,0,0,12,9,15
Derrick Rose,PG,34,NYK,21,0,285,54,135,.400,17,49,.347,37,86,.430,.463,10,10,1.000,8,29,37,42,7,5,17,14,135
Terrence Ross,SG,31,ORL,22,8,538,76,178,.427,37,94,.394,39,84,.464,.531,9,13,.692,7,42,49,29,16,4,27,33,198
Terry Rozier,PG,28,CHO,16,16,597,129,335,.385,40,133,.301,89,202,.441,.445,42,50,.840,21,55,76,93,12,3,42,31,340
D'Angelo Russell,PG,26,MIN,23,23,724,127,291,.436,44,138,.319,83,153,.542,.512,46,59,.780,15,62,77,154,30,13,63,47,344
Matt Ryan,SF,25,LAL,12,0,129,15,49,.306,13,35,.371,2,14,.143,.439,4,5,.800,2,12,14,4,2,0,3,14,47
Domantas Sabonis,PF,26,SAC,22,22,705,133,222,.599,10,27,.370,123,195,.631,.622,92,122,.754,48,193,241,144,16,11,55,84,368
Dario Šarić,PF,28,PHO,11,2,134,16,44,.364,7,20,.350,9,24,.375,.443,5,7,.714,15,24,39,12,3,2,6,21,44
Jordan Schakel,SF,24,WAS,2,0,6,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,0,0,1,1,0,0,1,3
Admiral Schofield,PF,25,ORL,14,0,168,21,46,.457,11,29,.379,10,17,.588,.576,6,6,1.000,9,11,20,9,2,2,4,29,59
Dennis Schröder,PG,29,LAL,8,5,207,21,53,.396,5,16,.313,16,37,.432,.443,16,18,.889,1,13,14,33,6,0,9,13,63
Dereon Seabron,SG,22,NOP,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Alperen Şengün,C,20,HOU,21,18,562,120,216,.556,4,21,.190,116,195,.595,.565,68,86,.791,71,109,180,46,16,20,49,74,312
