Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cole Swider,SF,23,LAL,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,0,0
Jae'Sean Tate,SF,27,HOU,3,2,68,10,20,.500,2,5,.400,8,15,.533,.550,3,4,.750,8,5,13,10,3,0,5,15,25
Jayson Tatum,PF,24,BOS,24,24,887,242,504,.480,82,225,.364,160,279,.573,.562,172,198,.869,27,172,199,101,24,25,66,54,738
Terry Taylor,SG,23,IND,15,2,128,11,31,.355,2,10,.200,9,21,.429,.387,4,5,.800,9,13,22,6,2,4,4,13,28
Garrett Temple,SG,36,NOP,9,0,70,9,22,.409,5,13,.385,4,9,.444,.523,3,4,.750,1,5,6,3,6,1,3,6,26
Dalen Terry,SG,20,CHI,10,0,33,3,11,.273,1,4,.250,2,7,.286,.318,3,4,.750,0,2,2,5,1,2,4,2,10
Cam Thomas,SG,21,BRK,19,0,283,37,101,.366,7,25,.280,30,76,.395,.401,40,50,.800,1,24,25,29,9,3,15,19,121
Klay Thompson,SG,32,GSW,20,20,607,127,316,.402,78,200,.390,49,116,.422,.525,28,33,.848,10,61,71,49,12,7,32,35,360
JT Thor,PF,20,CHO,14,0,146,12,38,.316,4,20,.200,8,18,.444,.368,7,9,.778,8,21,29,8,3,5,9,8,35
Matisse Thybulle,SG,25,PHI,20,3,228,12,39,.308,5,23,.217,7,16,.438,.372,1,3,.333,6,18,24,8,16,5,3,23,30
Xavier Tillman Sr.,PF,24,MEM,11,0,127,17,33,.515,2,6,.333,15,27,.556,.545,4,12,.333,15,16,31,8,4,5,7,13,40
Isaiah Todd,PF,21,WAS,4,0,13,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,0,0,0,0,0,0,0,2
Obi Toppin,PF,24,NYK,24,0,421,71,168,.423,33,94,.351,38,74,.514,.521,14,17,.824,14,79,93,26,10,5,19,28,189
Juan Toscano-Anderson,SF,29,LAL,12,0,127,10,25,.400,2,11,.182,8,14,.571,.440,4,5,.800,1,21,22,6,3,3,8,17,26
Karl-Anthony Towns,PF,27,MIN,21,21,709,153,303,.505,38,117,.325,115,186,.618,.568,92,104,.885,35,137,172,111,16,14,65,82,436
Gary Trent Jr.,SG,24,TOR,21,16,646,121,286,.423,47,140,.336,74,146,.507,.505,61,79,.772,13,29,42,32,34,3,23,29,350
P.J. Tucker,PF,37,PHI,24,24,687,32,71,.451,15,38,.395,17,33,.515,.556,4,6,.667,30,74,104,24,14,7,23,63,83
Myles Turner,C,26,IND,19,18,519,111,204,.544,28,71,.394,83,133,.624,.613,66,81,.815,27,119,146,27,10,43,33,60,316
Jonas Valančiūnas,C,30,NOP,23,23,530,117,211,.555,15,36,.417,102,175,.583,.590,59,71,.831,60,147,207,46,7,8,44,57,308
Jarred Vanderbilt,PF,23,UTA,24,24,598,87,143,.608,12,26,.462,75,117,.641,.650,20,32,.625,55,143,198,66,28,6,39,69,206
Fred VanVleet,PG,28,TOR,18,18,659,95,266,.357,50,147,.340,45,119,.378,.451,54,64,.844,9,55,64,115,30,9,33,50,294
Devin Vassell,SG,22,SAS,19,17,618,142,311,.457,59,141,.418,83,170,.488,.551,47,58,.810,4,76,80,68,14,8,30,29,390
Gabe Vincent,PG,26,MIA,19,0,472,60,154,.390,27,91,.297,33,63,.524,.477,21,25,.840,5,34,39,56,16,2,26,49,168
Noah Vonleh,C,27,BOS,16,1,142,11,22,.500,1,3,.333,10,19,.526,.523,2,2,1.000,17,23,40,5,2,6,10,29,25
Nikola Vučević,C,32,CHI,23,23,736,140,293,.478,36,104,.346,104,189,.550,.539,47,55,.855,51,201,252,65,11,17,47,47,363
Dean Wade,PF,26,CLE,17,9,409,38,84,.452,23,56,.411,15,28,.536,.589,9,13,.692,10,59,69,17,12,6,7,42,108
Franz Wagner,SF,21,ORL,25,25,829,179,361,.496,33,101,.327,146,260,.562,.542,91,105,.867,20,82,102,94,19,6,69,63,482
Moritz Wagner,C,25,ORL,7,3,170,24,51,.471,3,22,.136,21,29,.724,.500,19,23,.826,13,34,47,18,4,2,14,26,70
Ish Wainright,SF,28,PHO,9,1,124,13,28,.464,12,24,.500,1,4,.250,.679,2,3,.667,9,9,18,10,5,2,3,16,40
Jabari Walker,SF,20,POR,13,0,105,10,26,.385,1,8,.125,9,18,.500,.404,4,6,.667,7,22,29,9,1,2,4,11,25
Lonnie Walker IV,SG,24,LAL,19,19,594,117,242,.483,39,100,.390,78,142,.549,.564,44,51,.863,7,37,44,33,17,8,20,33,317
John Wall,PG,32,LAC,20,0,442,90,207,.435,18,66,.273,72,141,.511,.478,58,87,.667,6,46,52,113,18,5,47,34,256
T.J. Warren,SF,29,BRK,2,0,35,6,15,.400,0,2,.000,6,13,.462,.400,2,2,1.000,4,2,6,1,1,1,1,2,14
Duane Washington Jr.,SG,22,PHO,15,0,135,29,77,.377,11,39,.282,18,38,.474,.448,0,2,.000,0,9,9,11,1,1,9,7,69
P.J. Washington,PF,24,CHO,24,24,774,141,330,.427,48,139,.345,93,191,.487,.500,51,63,.810,26,87,113,54,18,24,45,61,381
TyTy Washington Jr.,PG,21,HOU,1,0,4,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,0,0,1
Yuta Watanabe,SF,28,BRK,14,0,255,42,69,.609,24,42,.571,18,27,.667,.783,6,9,.667,10,31,41,13,3,7,5,16,114
Lindy Waters III,SG,25,OKC,5,0,69,8,23,.348,7,22,.318,1,1,1.000,.500,0,0,,2,8,10,2,3,0,0,5,23
Trendon Watford,PF,22,POR,15,2,279,31,55,.564,3,10,.300,28,45,.622,.591,17,19,.895,13,48,61,25,7,1,16,28,82
Peyton Watson,SG,20,DEN,6,0,15,3,9,.333,0,1,.000,3,8,.375,.333,0,0,,2,1,3,0,0,0,0,1,6
Blake Wesley,SG,19,SAS,2,0,23,6,9,.667,2,3,.667,4,6,.667,.778,2,4,.500,1,1,2,4,0,0,2,3,16
Russell Westbrook,PG,34,LAL,21,3,588,112,277,.404,26,85,.306,86,192,.448,.451,56,82,.683,21,91,112,162,20,8,74,51,306
Coby White,PG,22,CHI,15,0,278,41,100,.410,21,64,.328,20,36,.556,.515,9,13,.692,2,28,30,24,9,2,13,24,112
Derrick White,SG,28,BOS,25,20,655,90,192,.469,46,106,.434,44,86,.512,.589,43,48,.896,14,61,75,83,21,17,24,64,269
Jack White,SF,25,DEN,8,0,26,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,2,3,5,0,1,2,0,4,2
Aaron Wiggins,SG,24,OKC,17,5,330,37,80,.463,13,33,.394,24,47,.511,.544,16,20,.800,17,44,61,29,9,4,11,26,103
Andrew Wiggins,SF,27,GSW,22,22,722,163,319,.511,67,149,.450,96,170,.565,.616,27,43,.628,34,79,113,48,30,17,30,64,420
Grant Williams,PF,24,BOS,24,11,695,77,144,.535,41,90,.456,36,54,.667,.677,24,28,.857,20,90,110,45,18,10,20,68,219
Jalen Williams,SG,21,OKC,20,8,511,87,163,.534,14,46,.304,73,117,.624,.577,28,35,.800,12,54,66,50,12,7,31,53,216
Jaylin Williams,PF,20,OKC,5,0,35,5,11,.455,0,2,.000,5,9,.556,.455,4,6,.667,5,5,10,3,1,0,2,6,14
Kenrich Williams,PF,28,OKC,21,3,429,59,112,.527,14,38,.368,45,74,.608,.589,6,14,.429,35,45,80,29,13,4,8,40,138
Mark Williams,C,21,CHO,3,0,13,4,7,.571,0,0,,4,7,.571,.571,3,3,1.000,4,4,8,0,0,0,2,3,11
Patrick Williams,PF,21,CHI,23,22,596,77,171,.450,29,69,.420,48,102,.471,.535,27,29,.931,26,66,92,18,16,23,36,48,210
Vince Williams Jr.,SG,22,MEM,6,0,40,3,11,.273,1,8,.125,2,3,.667,.318,0,0,,1,4,5,2,4,1,0,5,7
Zion Williamson,PF,22,NOP,18,18,576,163,276,.591,3,11,.273,160,265,.604,.596,96,132,.727,38,89,127,77,23,11,49,41,425
Justise Winslow,SF,26,POR,21,10,610,66,162,.407,11,35,.314,55,127,.433,.441,18,26,.692,35,80,115,78,24,9,34,65,161
James Wiseman,C,21,GSW,11,0,147,30,51,.588,0,0,,30,51,.588,.588,15,23,.652,11,31,42,11,1,4,8,26,75
Christian Wood,PF,27,DAL,20,0,521,125,226,.553,28,68,.412,97,158,.614,.615,59,87,.678,25,130,155,27,8,11,50,57,337
Delon Wright,PG,30,WAS,4,0,91,10,24,.417,3,12,.250,7,12,.583,.479,3,5,.600,4,6,10,13,11,4,4,5,26
McKinley Wright IV,PG,24,DAL,1,0,5,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,1,2,2,1,0,0,0,2
Thaddeus Young,PF,34,TOR,21,8,359,50,94,.532,3,15,.200,47,79,.595,.548,12,14,.857,38,46,84,39,21,2,18,35,115
Trae Young,PG,24,ATL,22,22,781,194,476,.408,48,162,.296,146,314,.465,.458,171,190,.900,17,47,64,212,16,3,76,30,607
Ivica Zubac,C,25,LAC,25,25,761,106,169,.627,0,1,.000,106,168,.631,.627,55,81,.679,87,200,287,31,11,43,55,75,267
