192,Jaxson Hayes,6803012
193,Khem Birch,6667500
194,Bennedict Mathurin,6586800
195,Patrick Mills,6479000
195,Bruce Brown,6479000
195,Caleb Martin,6479000
195,Lonnie Walker,6479000
195,Joe Ingles,6479000
200,Onyeka Okongwu,6395160
201,Justin Holiday,6292440
202,Josh Giddey,6287400
203,Rui Hachimura,6263188
204,Rudy Gay,6184500
205,Jevon Carter,6025000
206,Shaedon Sharpe,6012960
207,Cameron Payne,6000000
207,Otto Porter,6000000
209,Cam Reddish,5954454
210,Cameron Johnson,5887899
211,Ricky Rubio,5853659
212,Killian Hayes,5837760
213,PJ Washington,5808435
214,Jonathan Kuminga,5739840
215,Pat Connaughton,5728393
216,Tyler Herro,5722116
217,Romeo Langford,5634257
218,Dyson Daniels,5508600
219,JaVale McGee,5461219
220,Obi Toppin,5348280
221,Franz Wagner,5258280
222,Kendrick Nunn,5250000
223,Hamidou Diallo,5200000
224,Cory Joseph,5155500
224,Garrett Temple,5155500
226,Torrey Craig,5121951
227,Jeremy Sochan,5063520
228,David Nwaba,5022000
229,Nickeil Alexander-Walker,5009633
230,Furkan Korkmaz,5000000
231,Deni Avdija,4916160
232,Davion Mitchell,4833600
233,Johnny Davis,4810320
234,Goga Bitadze,4765339
235,Ty Jerome,4728948
236,Ishmael Smith,4725000
237,Jalen Smith,4670160
238,Ziaire Williams,4591680
239,Ousmane Dieng,4569840
240,Moe Harkless,4564980
241,Donte DiVincenzo,4500000
241,Jeff Green,4500000
243,Devin Vassell,4437000
244,Matisse Thybulle,4379526
245,Jarred Vanderbilt,4374000
246,James Bouknight,4362240
247,Brandon Clarke,4343919
248,Jalen Williams,4341480
249,Grant Williams,4306281
250,Darius Bazley,4264628
251,Tyrese Haliburton,4215120
252,Nassir Little,4171548
253,Josh Primo,4144320
254,Jalen Duren,4124280
255,Danuel House,4105000
256,Justise Winslow,4097561
257,Dylan Windler,4037277
258,Kira Lewis,4004280
259,George Hill,4000000
259,Terence Davis,4000000
261,Chris Duarte,3936960
262,Alex Len,3918600
263,Ochai Agbaji,3918360
264,Jordan Poole,3901399
265,Keldon Johnson,3873024
266,Sviatoslav Mykhailiuk,3846895
267,Aaron Nesmith,3804360
268,Moses Moody,3740160
269,Mark Williams,3722040
270,Cole Anthony,3613680
271,Corey Kispert,3552840
272,AJ Griffin,3536160
273,Boban Marjanovic,3500000
273,Mike Muscala,3500000
275,Georges Niang,3465000
276,Isaiah Stewart,3433320
276,Chuma Okeke,3433320
278,Trey Burke,3423750
279,Amir Coffey,3395062
280,Alperen Sengun,3375360
281,Tari Eason,3359160
282,Aleksej Pokusevski,3261480
283,Kevin Porter,3217631
284,Trey Murphy,3206520
285,Simone Fontecchio,3205128
286,Andre Drummond,3200000
286,Derrick Jones,3200000
288,Dalen Terry,3191400
289,Josh Green,3098400
290,Jake LaRavia,3047640
291,Tre Mann,3046200
292,Jordan Nwora,3000000
292,Kevin Knox,3000000
292,Sterling Brown,3000000
295,Saddiq Bey,2959080
296,Malaki Branham,2925600
297,Kai Jones,2909040
298,Blake Griffin,2905851
298,Markieff Morris,2905851
298,Goran Dragic,2905851
298,Robin Lopez,2905851
298,Andre Iguodala,2905851
298,James Johnson,2905851
298,Udonis Haslem,2905851
298,Serge Ibaka,2905851
298,Wesley Matthews,2905851
298,Austin Rivers,2905851
298,Bismack Biyombo,2905851
298,Gorgui Dieng,2905851
298,Taj Gibson,2905851
311,Andrew Nicholson,2844429
312,Precious Achiuwa,2840160
313,Christian Braun,2808600
314,Jalen Johnson,2792640
315,Tyrese Maxey,2726880
316,Bruno Fernando,2717391
317,Walker Kessler,2696400
318,Keon Johnson,2681040
319,Dennis Schroeder,2641682
320,TJ Warren,2628597
320,Matthew Dellavedova,2628597
322,Trey Lyles,2625000
323,Zeke Nnaji,2617800
324,David Roddy,2588640
325,Isaiah Jackson,2573760
326,MarJon Beauchamp,2485200
327,Usman Garuba,2471160
327,Leandro Bolmaro,2471160
329,Montrezl Harrell,2463490
329,Frank Kaminsky,2463490
329,Noah Vonleh,2463490
329,Raul Neto,2463490
333,Willy Hernangomez,2443581
334,RJ Hampton,2412840
335,Theo Maledon,2408891
336,Blake Wesley,2385480
337,Josh Christopher,2372160
338,Stanley Johnson,2351521
339,Immanuel Quickley,2316240
340,Wendell Moore,2306520
341,John Konchar,2300000
342,Damian Jones,2298385
342,Rodney McGruder,2298385
342,Bryn Forbes,2298385
342,Ryan Arcidiacono,2298385
342,Juan Hernangomez,2298385
347,Quentin Grimes,2277000
348,Andrew Nembhard,2244111
349,Nikola Jovic,2239920
350,Payton Pritchard,2239200
351,Vlatko Cancar,2234359
352,Patrick Baldwin,2226000
353,TyTy Washington,2210040
354,Bones Hyland,2201520
355,Bol Bol,2200000
356,Peyton Watson,2193960
357,Marquese Chriss,2193920
358,Joe Wieskamp,2175000
359,Udoka Azubuike,2174880
360,Saben Lee,2165733
361,Jaden McDaniels,2161440
362,Jordan McLaughlin,2160000
363,Malachi Flynn,2145720
364,Cam Thomas,2138160
365,Luke Kornet,2133278
365,Justin Jackson,2133278
365,Dennis Smith,2133278
365,Juan Toscano-Anderson,2133278
365,Damion Lee,2133278
370,Desmond Bane,2130240
371,Jaden Springer,2125200
372,Day'Ron Sharpe,2109480
373,Santiago Aldama,2094120
374,Tony Bradley,2036318
374,Frank Ntilikina,2036318
376,Kenrich Williams,2000000
376,Garrison Mathews,2000000
376,Jaylin Williams,2000000
376,Caleb Houstan,2000000
376,Jeremiah Robinson-Earl,2000000
381,Shake Milton,1997718
382,Edmond Sumner,1968175
382,Aaron Holiday,1968175
382,Yuta Watanabe,1968175
382,Theo Pinson,1968175
382,Troy Brown,1968175
382,Thomas Bryant,1968175
382,Josh Okogie,1968175
382,Drew Eubanks,1968175
390,Daniel Gafford,1930681
390,Terance Mann,1930681
390,Dean Wade,1930681
390,Jalen McDaniels,1930681
390,Jaylen Nowell,1930681
390,Naz Reid,1930681
390,Isaiah Roby,1930681
397,Chimezie Metu,1910860
398,Davon Reed,1902133
398,KZ Okpala,1902133
400,Killian Tillie,1901625
401,Wenyen Gabriel,1878720
401,Thanasis Antetokounmpo,1878720
401,Moritz Wagner,1878720
401,Keita Bates-Diop,1878720
405,Oshae Brissett,1846738
406,Isaiah Joe,1836090
406,Anthony Gill,1836090
406,Nathan Knight,1836090
409,Javonte Green,1815677
409,Max Strus,1815677
409,Gabe Vincent,1815677
412,Herb Jones,1785000
413,Lamar Stevens,1782621
413,KJ Martin,1782621
413,Nick Richards,1782621
413,Tyrell Terry,1782621
413,Xavier Tillman,1782621
413,Naji Marshall,1782621
413,Paul Reed,1782621
413,Tre Jones,1782621
413,Vernon Carey,1782621
422,Haywood Highsmith,1752638
422,Omer Yurtseven,1752638
424,Jericho Sims,1639842
425,Sam Hauser,1637966
425,Justin Champagnie,1637966
425,Kessler Edwards,1637966
428,Isaiah Todd,1575000
429,Vit Krejci,1563518
429,JT Thor,1563518
429,Marko Simonovic,1563518
429,Terry Taylor,1563518
429,BJ Boston,1563518
429,Jason Preston,1563518
429,Aaron Wiggins,1563518
429,Trendon Watford,1563518
429,Ayo Dosunmu,1563518
429,Isaiah Livers,1563518
429,Daishen Nix,1563518
429,Austin Reaves,1563518
429,Jose Alvarado,1563518
429,Miles McBride,1563518
429,Jock Landale,1563518
429,Greg Brown,1563518
429,Dalano Banton,1563518
429,Jared Butler,1563518
447,Christian Koloko,1500000
448,Alize Johnson,1493098
449,Eric Bledsoe,1300000
450,Kennedy Chandler,1200000
451,Zhaire Smith,1068200
452,Tyrese Martin,1017781
452,Jaden Hardy,1017781
452,Ryan Rollins,1017781
452,Max Christie,1017781
452,Josh Minott,1017781
452,Jabari Walker,1017781
452,Chima Moneke,1017781
459,Kyle Singler,999200
460,Trevelin Queen,838891
461,Nik Stauskas,702311
462,Ishmail Wainright,633891
463,Juwan Morgan,576230
464,Charles Bassey,566085
465,Malik Fitts,555217
466,Cole Swider,508891
466,Vince Williams ,508891
466,EJ Liddell,508891
466,Kevon Harris,508891
466,Micah Potter,508891
466,Jarrett Culver,508891
466,Trent Forrest,508891
466,JD Davison,508891
466,Mfiondu Kabengele,508891
466,David Duke,508891
466,Alondes Williams,508891
466,Bryce McGowens,508891
466,Kostas Antetokounmpo,508891
466,Malcolm Hill,508891
466,Mamadi Diakite,508891
466,Isaiah Mobley,508891
466,Tyler Dorsey,508891
466,McKinley Wright,508891
466,Collin Gillespie,508891
466,Jack White,508891
466,Buddy Boeheim,508891
466,Anthony Lamb,508891
466,Darius Days,508891
466,Trevor Hudgins,508891
466,Kendall Brown,508891
466,Moses Brown,508891
466,Moussa Diabate,508891
466,Scottie Pippen ,508891
466,Kenneth Lofton,508891
